You can find detailed documentation, photos, and example results there, along with links to project logs and community builds on Hackaday.io.;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part;Price
;10kΩ;R13,R15;R0603;2;0603WAF1002T5E;UNI-ROYAL(厚声);LCSC;C25804;0.001
Ordering your PCB through PCBWay helps support continued development of open-source radiation detection hardware.;1kΩ;R5,R8;R0603;2;0603WAF1001T5E;UNI-ROYAL(厚声);LCSC;C21190;0.001
3;2kΩ;R3;RES-ADJ-TH_3362P;1;3362P-1-202LF;BOURNS;LCSC;C111654;0.373
4;50kΩ;R4,R14;RES-ADJ-TH_3P-L7.1-W6.9-P2.50-L_3362P;2;3362P-1-503;BOCHEN(博晨);LCSC;C118910;0.143
5;100nF;C7,C8,C10,C11,C12,C14,C15;C0603;7;CL10B104KC8NNNC;SAMSUNG(三星);LCSC;C15725;0.006
6;TLV3201AIDBVR;U1;SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR;1;TLV3201AIDBVR;TI(德州仪器);LCSC;C105188;0.403
7;LTST-C190KGKT;ACT;LED0603-RD;1;LTST-C190KGKT;LITEON(光宝);LCSC;C125094;0.015
8;49.9Ω;R2,R6,R9,R10,R12;R0603;5;0603WAF499JT5E;UNI-ROYAL(厚声);LCSC;C23185;0.001
9;4.7uF;C1,C2,C9,C13;C0805;4;CL21A475KBQNNNE;SAMSUNG(三星);LCSC;C98192;0.02
10;REF3030AIDBZR;U2;SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR;1;REF3030AIDBZR;TI(德州仪器);LCSC;C38423;0.263
11;210kΩ;R1,R7,R11;R0603;3;TC0325D2103T5H;UNI-ROYAL(厚声);LCSC;C517422;0.023
12;22uF;C3,C4,C5,C6;C0603;4;CL10A226MP8NUNE;SAMSUNG(三星);LCSC;C86295;0.015
13;PMEG4010BEA;D1,D2,D3;SOD-323_L1.8-W1.3-LS2.5-RD;3;PMEG4010BEA,115;Nexperia(安世);LCSC;C36975;1.315
14;MTP125-1104S1;H1,H2;HDR-TH_4P-P2.54-V-M;2;MTP125-1104S1;MINTRON(明硕);LCSC;C358686;0.024
15;47uH;L1;IND-SMD_L4.0-W4.0_NR4018T;1;NRS4018T470MDGJ;TAIYO YUDEN(太诱);LCSC;C222886;0.126
16;1kΩ;L2,L3,L4;L0603;3;BLM18KG102SN1D;muRata(村田);LCSC;C160982;0.017
17;MAX5026EUT+T;U3;SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL;1;MAX5026EUT+T;ADI(亚德诺)/MAXIM(美信);LCSC;C87603;1.696
